    Time,sec      Abs(UY,mm)      Abs(UZ,mm)   Phase(UY,deg)   Phase(UZ,deg)       Freqz(Hz)=189.16       Freqy(Hz)=189.16
    0.007800        0.006936        0.006936       32.714784          -57.29       34.69        1.55
    0.007850        0.006955        0.006955       32.960964          -57.04       34.80        1.55
    0.007900        0.006974        0.006974       33.207595          -56.79       34.90        1.55
    0.007950        0.006993        0.006993       33.454677          -56.55       35.00        1.55
    0.008000        0.007011        0.007011       33.702210          -56.30       35.10        1.55
    0.008050        0.007029        0.007029       33.950193          -56.05       35.20        1.55
    0.008100        0.007047        0.007047       34.198627          -55.80       35.30        1.55
    0.008150        0.007064        0.007064       34.447512          -55.55       35.40        1.55
    0.008200        0.007082        0.007082       34.696847          -55.30       35.49        1.55
    0.008250        0.007099        0.007099       34.946634          -55.05       35.59        1.55
    0.008300        0.007116        0.007116       35.196870          -54.80       35.68        1.55
    0.008350        0.007133        0.007133       35.447557          -54.55       35.77        1.55
    0.008400        0.007149        0.007149       35.698695          -54.30       35.86        1.56
    0.008450        0.007166        0.007166       35.950283          -54.05       35.95        1.56
    0.008500        0.007182        0.007182       36.202321          -53.80       36.04        1.56
    0.008550        0.007198        0.007198       36.454809          -53.55       36.13        1.56
    0.008600        0.007213        0.007213       36.707747          -53.29       36.22        1.56
    0.008650        0.007229        0.007229       36.961135          -53.04       36.30        1.56
    0.008700        0.007244        0.007244       37.214972          -52.79       36.39        1.56
    0.008750        0.007260        0.007260       37.469259          -52.53       36.47        1.56
    0.008800        0.007275        0.007275       37.723996          -52.28       36.56        1.56
    0.008850        0.007289        0.007289       37.979182          -52.02       36.64        1.56
    0.008900        0.007304        0.007304       38.234816          -51.77       36.72        1.56
    0.008950        0.007318        0.007318       38.490900          -51.51       36.80        1.56
    0.009000        0.007332        0.007332       38.747433          -51.25       36.88        1.56
    0.009050        0.007346        0.007346       39.004414          -51.00       36.96        1.56
    0.009100        0.007360        0.007360       39.261843          -50.74       37.03        1.56
    0.009150        0.007374        0.007374       39.519721          -50.48       37.11        1.56
    0.009200        0.007387        0.007387       39.778046          -50.22       37.18        1.56
    0.009250        0.007401        0.007401       40.036819          -49.96       37.26        1.56
    0.009300        0.007414        0.007414       40.296040          -49.70       37.33        1.56
    0.009350        0.007427        0.007427       40.555707          -49.44       37.40        1.56
    0.009400        0.007440        0.007440       40.815822          -49.18       37.47        1.56
    0.009450        0.007452        0.007452       41.076383          -48.92       37.54        1.56
    0.009500        0.007465        0.007465       41.337391          -48.66       37.61        1.56
    0.009550        0.007477        0.007477       41.598845          -48.40       37.68        1.56
    0.009600        0.007489        0.007489       41.860745          -48.14       37.75        1.56
    0.009650        0.007501        0.007501       42.123091          -47.88       37.82        1.56
    0.009700        0.007513        0.007513       42.385881          -47.61       37.88        1.56
    0.009750        0.007524        0.007524       42.649117          -47.35       37.95        1.56
    0.009800        0.007536        0.007536       42.912798          -47.09       38.01        1.56
    0.009850        0.007547        0.007547       43.176922          -46.82       38.07        1.56
    0.009900        0.007558        0.007558       43.441491          -46.56       38.13        1.56
    0.009950        0.007569        0.007569       43.706504          -46.29       38.20        1.56
    0.010000        0.007580        0.007580       43.971959          -46.03       38.26        1.56
    0.010050        0.007590        0.007590       44.237858          -45.76       38.32        1.56
    0.010100        0.007601        0.007601       44.504199          -45.50       38.38        1.56
    0.010150        0.007611        0.007611       44.770983          -45.23       38.43        1.56
    0.010200        0.007621        0.007621       45.038208          -44.96       38.49        1.56
    0.010250        0.007631        0.007631       45.305875          -44.69       38.55        1.56
    0.010300        0.007641        0.007641       45.573983          -44.43       38.60        1.56
    0.010350        0.007651        0.007651       45.842531          -44.16       38.66        1.56
    0.010400        0.007661        0.007661       46.111520          -43.89       38.71        1.56
    0.010450        0.007670        0.007670       46.380948          -43.62       38.76        1.56
    0.010500        0.007679        0.007679       46.650816          -43.35       38.82        1.56
    0.010550        0.007689        0.007689       46.921122          -43.08       38.87        1.56
    0.010600        0.007698        0.007698       47.191867          -42.81       38.92        1.56
    0.010650        0.007706        0.007706       47.463050          -42.54       38.97        1.56
    0.010700        0.007715        0.007715       47.734670          -42.27       39.02        1.56
    0.010750        0.007724        0.007724       48.006728          -41.99       39.07        1.56
    0.010800        0.007732        0.007732       48.279222          -41.72       39.12        1.56
