    Freq(Hz)    Mag(0,0)  Phase(0,0)    Freq(Hz)    Mag(0,1)  Phase(0,1)    Freq(Hz)    Mag(0,2)  Phase(0,2)    Freq(Hz)    Mag(1,0)  Phase(1,0)    Freq(Hz)    Mag(1,1)  Phase(1,1)    Freq(Hz)    Mag(1,2)  Phase(1,2)    Freq(Hz)    Mag(2,0)  Phase(2,0)    Freq(Hz)    Mag(2,1)  Phase(2,1)    Freq(Hz)    Mag(2,2)  Phase(2,2)
       63.00      0.0053      -90.00       63.00      0.0000       90.00       63.00      0.0000       90.00       63.00      0.0000       90.00       63.00      0.0026      -90.00       63.00      0.0000       90.00       63.00      0.0000       90.00       63.00      0.0000       90.00       63.00      0.0017      -90.00
       64.00      0.0052      -90.00       64.00      0.0000       90.00       64.00      0.0000       90.00       64.00      0.0000       90.00       64.00      0.0025      -90.00       64.00      0.0000       90.00       64.00      0.0000       90.00       64.00      0.0000       90.00       64.00      0.0017      -90.00
       65.00      0.0051      -90.00       65.00      0.0000       90.00       65.00      0.0000       90.00       65.00      0.0000       90.00       65.00      0.0025      -90.00       65.00      0.0000       90.00       65.00      0.0000       90.00       65.00      0.0000       90.00       65.00      0.0017      -90.00
       66.00      0.0050      -90.00       66.00      0.0000       90.00       66.00      0.0000       90.00       66.00      0.0000       90.00       66.00      0.0025      -90.00       66.00      0.0000       90.00       66.00      0.0000       90.00       66.00      0.0000       90.00       66.00      0.0016      -90.00
       67.00      0.0049      -90.00       67.00      0.0000       90.00       67.00      0.0000       90.00       67.00      0.0000       90.00       67.00      0.0024      -90.00       67.00      0.0000       90.00       67.00      0.0000       90.00       67.00      0.0000       90.00       67.00      0.0016      -90.00
       68.00      0.0048      -90.00       68.00      0.0000       90.00       68.00      0.0000       90.00       68.00      0.0000       90.00       68.00      0.0024      -90.00       68.00      0.0000       90.00       68.00      0.0000       90.00       68.00      0.0000       90.00       68.00      0.0016      -90.00
       69.00      0.0048      -90.00       69.00      0.0000       90.00       69.00      0.0000       90.00       69.00      0.0000       90.00       69.00      0.0023      -90.00       69.00      0.0000       90.00       69.00      0.0000       90.00       69.00      0.0000       90.00       69.00      0.0016      -90.00
       70.00      0.0047      -90.00       70.00      0.0000       90.00       70.00      0.0000       90.00       70.00      0.0000       90.00       70.00      0.0023      -90.00       70.00      0.0000       90.00       70.00      0.0000       90.00       70.00      0.0000       90.00       70.00      0.0015      -90.00
       71.00      0.0046      -90.00       71.00      0.0000       90.00       71.00      0.0000       90.00       71.00      0.0000       90.00       71.00      0.0023      -90.00       71.00      0.0000       90.00       71.00      0.0000       90.00       71.00      0.0000       90.00       71.00      0.0015      -90.00
       72.00      0.0046      -90.00       72.00      0.0000       90.00       72.00      0.0000       90.00       72.00      0.0000       90.00       72.00      0.0022      -90.00       72.00      0.0000       90.00       72.00      0.0000       90.00       72.00      0.0000       90.00       72.00      0.0015      -90.00
       73.00      0.0045      -90.00       73.00      0.0000       90.00       73.00      0.0000       90.00       73.00      0.0000       90.00       73.00      0.0022      -90.00       73.00      0.0000       90.00       73.00      0.0000       90.00       73.00      0.0000       90.00       73.00      0.0015      -90.00
       74.00      0.0044      -90.00       74.00      0.0000       90.00       74.00      0.0000       90.00       74.00      0.0000       90.00       74.00      0.0022      -90.00       74.00      0.0000       90.00       74.00      0.0000       90.00       74.00      0.0000       90.00       74.00      0.0014      -90.00
       75.00      0.0044      -90.00       75.00      0.0000       90.00       75.00      0.0000       90.00       75.00      0.0000       90.00       75.00      0.0022      -90.00       75.00      0.0000       90.00       75.00      0.0000       90.00       75.00      0.0000       90.00       75.00      0.0014      -90.00
       76.00      0.0043      -90.00       76.00      0.0000       90.00       76.00      0.0000       90.00       76.00      0.0000       90.00       76.00      0.0021      -90.00       76.00      0.0000       90.00       76.00      0.0000       90.00       76.00      0.0000       90.00       76.00      0.0014      -90.00
       77.00      0.0042      -90.00       77.00      0.0000       90.00       77.00      0.0000       90.00       77.00      0.0000       90.00       77.00      0.0021      -90.00       77.00      0.0000       90.00       77.00      0.0000       90.00       77.00      0.0000       90.00       77.00      0.0014      -90.00
       78.00      0.0042      -90.00       78.00      0.0000       90.00       78.00      0.0000       90.00       78.00      0.0000       90.00       78.00      0.0021      -90.00       78.00      0.0000       90.00       78.00      0.0000       90.00       78.00      0.0000       90.00       78.00      0.0014      -90.00
       79.00      0.0041      -90.00       79.00      0.0000       90.00       79.00      0.0000       90.00       79.00      0.0000       90.00       79.00      0.0020      -90.00       79.00      0.0000       90.00       79.00      0.0000       90.00       79.00      0.0000       90.00       79.00      0.0014      -90.00
       80.00      0.0041      -90.00       80.00      0.0000       90.00       80.00      0.0000       90.00       80.00      0.0000       90.00       80.00      0.0020      -90.00       80.00      0.0000       90.00       80.00      0.0000       90.00       80.00      0.0000       90.00       80.00      0.0013      -90.00
       81.00      0.0040      -90.00       81.00      0.0000       90.00       81.00      0.0000       90.00       81.00      0.0000       90.00       81.00      0.0020      -90.00       81.00      0.0000       90.00       81.00      0.0000       90.00       81.00      0.0000       90.00       81.00      0.0013      -90.00
       82.00      0.0040      -90.00       82.00      0.0000       90.00       82.00      0.0000       90.00       82.00      0.0000       90.00       82.00      0.0020      -90.00       82.00      0.0000       90.00       82.00      0.0000       90.00       82.00      0.0000       90.00       82.00      0.0013      -90.00
       83.00      0.0039      -90.00       83.00      0.0000       90.00       83.00      0.0000       90.00       83.00      0.0000       90.00       83.00      0.0019      -90.00       83.00      0.0000       90.00       83.00      0.0000       90.00       83.00      0.0000       90.00       83.00      0.0013      -90.00
