    Freq(Hz)    Mag(0,0)  Phase(0,0)    Freq(Hz)    Mag(0,1)  Phase(0,1)    Freq(Hz)    Mag(0,2)  Phase(0,2)    Freq(Hz)    Mag(1,0)  Phase(1,0)    Freq(Hz)    Mag(1,1)  Phase(1,1)    Freq(Hz)    Mag(1,2)  Phase(1,2)    Freq(Hz)    Mag(2,0)  Phase(2,0)    Freq(Hz)    Mag(2,1)  Phase(2,1)    Freq(Hz)    Mag(2,2)  Phase(2,2)
       72.00      0.0000     -180.00       72.00      0.0000        0.00       72.00      0.0000        0.00       72.00      0.0000        0.00       72.00      0.0000     -180.00       72.00      0.0000        0.00       72.00      0.0000        0.00       72.00      0.0000        0.00       72.00      0.0000     -180.00
       73.00      0.0000     -180.00       73.00      0.0000        0.00       73.00      0.0000        0.00       73.00      0.0000        0.00       73.00      0.0000     -180.00       73.00      0.0000        0.00       73.00      0.0000        0.00       73.00      0.0000        0.00       73.00      0.0000     -180.00
       74.00      0.0000     -180.00       74.00      0.0000        0.00       74.00      0.0000        0.00       74.00      0.0000        0.00       74.00      0.0000     -180.00       74.00      0.0000        0.00       74.00      0.0000        0.00       74.00      0.0000        0.00       74.00      0.0000     -180.00
       75.00      0.0000     -180.00       75.00      0.0000        0.00       75.00      0.0000        0.00       75.00      0.0000        0.00       75.00      0.0000     -180.00       75.00      0.0000        0.00       75.00      0.0000        0.00       75.00      0.0000        0.00       75.00      0.0000     -180.00
       76.00      0.0000     -180.00       76.00      0.0000        0.00       76.00      0.0000        0.00       76.00      0.0000        0.00       76.00      0.0000     -180.00       76.00      0.0000        0.00       76.00      0.0000        0.00       76.00      0.0000        0.00       76.00      0.0000     -180.00
       77.00      0.0000     -180.00       77.00      0.0000        0.00       77.00      0.0000        0.00       77.00      0.0000        0.00       77.00      0.0000     -180.00       77.00      0.0000        0.00       77.00      0.0000        0.00       77.00      0.0000        0.00       77.00      0.0000     -180.00
       78.00      0.0000     -180.00       78.00      0.0000        0.00       78.00      0.0000        0.00       78.00      0.0000        0.00       78.00      0.0000     -180.00       78.00      0.0000        0.00       78.00      0.0000        0.00       78.00      0.0000        0.00       78.00      0.0000     -180.00
       79.00      0.0000     -180.00       79.00      0.0000        0.00       79.00      0.0000        0.00       79.00      0.0000        0.00       79.00      0.0000     -180.00       79.00      0.0000        0.00       79.00      0.0000        0.00       79.00      0.0000        0.00       79.00      0.0000     -180.00
       80.00      0.0000     -180.00       80.00      0.0000        0.00       80.00      0.0000        0.00       80.00      0.0000        0.00       80.00      0.0000     -180.00       80.00      0.0000        0.00       80.00      0.0000        0.00       80.00      0.0000        0.00       80.00      0.0000     -180.00
       81.00      0.0000     -180.00       81.00      0.0000        0.00       81.00      0.0000        0.00       81.00      0.0000        0.00       81.00      0.0000     -180.00       81.00      0.0000        0.00       81.00      0.0000        0.00       81.00      0.0000        0.00       81.00      0.0000     -180.00
       82.00      0.0000     -180.00       82.00      0.0000        0.00       82.00      0.0000        0.00       82.00      0.0000        0.00       82.00      0.0000     -180.00       82.00      0.0000        0.00       82.00      0.0000        0.00       82.00      0.0000        0.00       82.00      0.0000     -180.00
       83.00      0.0000     -180.00       83.00      0.0000        0.00       83.00      0.0000        0.00       83.00      0.0000        0.00       83.00      0.0000     -180.00       83.00      0.0000        0.00       83.00      0.0000        0.00       83.00      0.0000        0.00       83.00      0.0000     -180.00
       84.00      0.0000     -180.00       84.00      0.0000        0.00       84.00      0.0000        0.00       84.00      0.0000        0.00       84.00      0.0000     -180.00       84.00      0.0000        0.00       84.00      0.0000        0.00       84.00      0.0000        0.00       84.00      0.0000     -180.00
       85.00      0.0000     -180.00       85.00      0.0000        0.00       85.00      0.0000        0.00       85.00      0.0000        0.00       85.00      0.0000     -180.00       85.00      0.0000        0.00       85.00      0.0000        0.00       85.00      0.0000        0.00       85.00      0.0000     -180.00
       86.00      0.0000     -180.00       86.00      0.0000        0.00       86.00      0.0000        0.00       86.00      0.0000        0.00       86.00      0.0000     -180.00       86.00      0.0000        0.00       86.00      0.0000        0.00       86.00      0.0000        0.00       86.00      0.0000     -180.00
       87.00      0.0000     -180.00       87.00      0.0000        0.00       87.00      0.0000        0.00       87.00      0.0000        0.00       87.00      0.0000     -180.00       87.00      0.0000        0.00       87.00      0.0000        0.00       87.00      0.0000        0.00       87.00      0.0000     -180.00
       88.00      0.0000     -180.00       88.00      0.0000        0.00       88.00      0.0000        0.00       88.00      0.0000        0.00       88.00      0.0000     -180.00       88.00      0.0000        0.00       88.00      0.0000        0.00       88.00      0.0000        0.00       88.00      0.0000     -180.00
       89.00      0.0000     -180.00       89.00      0.0000        0.00       89.00      0.0000        0.00       89.00      0.0000        0.00       89.00      0.0000     -180.00       89.00      0.0000        0.00       89.00      0.0000        0.00       89.00      0.0000        0.00       89.00      0.0000     -180.00
       90.00      0.0000     -180.00       90.00      0.0000        0.00       90.00      0.0000        0.00       90.00      0.0000        0.00       90.00      0.0000     -180.00       90.00      0.0000        0.00       90.00      0.0000        0.00       90.00      0.0000        0.00       90.00      0.0000     -180.00
       91.00      0.0000     -180.00       91.00      0.0000        0.00       91.00      0.0000        0.00       91.00      0.0000        0.00       91.00      0.0000     -180.00       91.00      0.0000        0.00       91.00      0.0000        0.00       91.00      0.0000        0.00       91.00      0.0000     -180.00
       92.00      0.0000     -180.00       92.00      0.0000        0.00       92.00      0.0000        0.00       92.00      0.0000        0.00       92.00      0.0000     -180.00       92.00      0.0000        0.00       92.00      0.0000        0.00       92.00      0.0000        0.00       92.00      0.0000     -180.00
       93.00      0.0000     -180.00       93.00      0.0000        0.00       93.00      0.0000        0.00       93.00      0.0000        0.00       93.00      0.0000     -180.00       93.00      0.0000        0.00       93.00      0.0000        0.00       93.00      0.0000        0.00       93.00      0.0000     -180.00
       94.00      0.0000     -180.00       94.00      0.0000        0.00       94.00      0.0000        0.00       94.00      0.0000        0.00       94.00      0.0000     -180.00       94.00      0.0000        0.00       94.00      0.0000        0.00       94.00      0.0000        0.00       94.00      0.0000     -180.00
