Frequency  Magnitude  Phase
     99.3615 9.43736e-07     -126.03
     99.5207 1.12853e-06       86.20
     99.6799 6.15171e-07      154.37
     99.8392 1.98092e-06      -91.72
     99.9984 2.19872e-06       64.82
    100.1576 1.56895e-06     -168.77
    100.3169 1.06433e-06      -26.91
    100.4761 1.15742e-06       44.08
    100.6353 3.09586e-06      -98.13
    100.7946 3.71152e-06       90.76
    100.9538 2.29954e-06     -104.92
    101.1130 1.79167e-06       76.85
    101.2723 1.34242e-06      -60.84
    101.4315 1.22904e-06      155.86
    101.5907 1.08945e-06        1.77
    101.7500 1.05128e-06     -158.09
    101.9092 3.63164e-07       -9.79
    102.0684 4.61922e-07        8.08
    102.2277 7.94242e-07     -179.92
    102.3869 2.90464e-07      141.24
    102.5461 1.56233e-06      -11.51
    102.7054  1.6113e-06      118.28
    102.8646 1.87522e-06      -74.95
    103.0238 1.10474e-06      153.29
    103.1831 1.61704e-06       10.44
    103.3423   1.845e-06     -175.75
    103.5015 8.36148e-07      -24.86
    103.6608 9.01786e-07       84.45
    103.8200 2.82412e-07      -22.24
    103.9792 1.53449e-06     -129.56
    104.1385 2.10306e-06       45.96
    104.2977 1.36887e-06     -129.95
    104.4569 8.98261e-07       71.27
    104.6162  6.0546e-07      -64.40
    104.7754  1.0089e-06     -103.28
    104.9346 1.70777e-06       99.91
    105.0939 1.11436e-06      -92.26
    105.2531 1.45226e-06       26.52
    105.4123 1.90204e-06     -164.40
    105.5716 1.39361e-06       30.29
    105.7308 1.08361e-06     -107.85
    105.8900 1.36387e-06      133.99
    106.0493 1.37578e-06      -17.23
    106.2085 1.36797e-07        4.15
    106.3677 8.29137e-07      131.87
    106.5270 1.20518e-06      -86.19
    106.6862 1.43495e-07       19.65
    106.8454 3.97827e-07      138.67
    107.0047 1.82719e-07      132.44
    107.1639 1.14635e-06       30.45
    107.3231  1.1615e-06     -140.81
    107.4824 3.09394e-07      -12.90
    107.6416 1.53487e-06      108.30
    107.8008 2.29451e-06      -41.84
    107.9601  1.7651e-06      173.39
    108.1193 7.01449e-07       -6.05
    108.2785 1.66103e-07     -108.12
    108.4378 1.11562e-06      107.50
    108.5970 1.14072e-06      -15.26
    108.7562 1.91066e-06     -169.12
    108.9155 2.49192e-06      -25.75
    109.0747 2.44089e-06      132.05
    109.2339 2.20511e-06      -54.96
    109.3932 2.42081e-06      119.57
    109.5524 2.33033e-06      -93.73
    109.7116  2.5568e-06       56.68
    109.8709 1.61558e-06     -119.95
    110.0301 7.60516e-07       41.09
    110.1893 4.38084e-07       65.05
    110.3486 2.86812e-06     -158.08
    110.5078 3.87121e-06       26.54
    110.6670 2.75936e-06     -124.02
    110.8263 1.76452e-06       79.55
    110.9855  7.8128e-07      -47.83
    111.1447 1.01454e-06     -142.21
    111.3040    1.66e-06       75.71
    111.4632 1.53704e-06     -103.72
    111.6224 5.42121e-07       21.14
    111.7817 1.00991e-06     -126.78
    111.9409 2.10529e-06       65.48
    112.1001  1.3848e-06      -85.86
    112.2594 1.07721e-06       88.73
    112.4186  1.8797e-06     -172.03
    112.5778 1.79425e-06      -15.49
    112.7371 6.14004e-07     -147.70
    112.8963 7.08233e-07       16.06
    113.0555 1.56603e-06      160.31
    113.2148 1.12789e-06      -14.79
    113.3740 7.72072e-07      -52.00
    113.5332 9.01158e-07       94.11
    113.6925 1.37382e-06     -143.17
    113.8517 1.06896e-06       61.64
    114.0109 1.45819e-06      -56.50
    114.1702 9.49961e-07       98.15
    114.3294 9.85961e-07     -165.29
    114.4886  1.5486e-06      -26.05
    114.6479 2.29725e-06      136.49
    114.8071 2.00433e-06      -66.13
    114.9663 1.42633e-06       52.31
    115.1256 1.61529e-06     -114.75
    115.2848 1.52641e-06      104.04
    115.4440 1.25984e-06      -93.91
    115.6033 2.02646e-06       54.48
    115.7625 9.00868e-07     -110.85
    115.9217 1.37082e-06      155.84
    116.0810 2.07938e-06      -56.81
    116.2402 2.22844e-06       70.57
    116.3994 1.56873e-06     -126.15
    116.5587 7.63943e-07       77.37
    116.7179 2.97693e-06     -102.75
    116.8771 3.96835e-06       63.93
    117.0364 2.78014e-06     -124.34
    117.1956 2.36938e-06       77.42
    117.3548 1.91946e-06     -108.42
    117.5141 1.72687e-06       -1.90
    117.6733 1.68163e-06      162.78
    117.8325  1.3137e-06       -4.55
    117.9918 6.00118e-07     -144.35
    118.1510 1.32991e-06       89.20
    118.3102  3.1414e-06      -94.24
    118.4695 2.81862e-06       80.47
    118.6287 8.62827e-07      -58.57
    118.7879 1.89647e-06     -171.51
    118.9472 2.23385e-06       -8.87
    119.1064 1.72116e-06      152.49
    119.2656 2.37928e-06      -27.58
    119.4248 2.04361e-06     -178.49
    119.5841 2.98215e-06       44.08
    119.7433 2.89177e-06     -136.91
    119.9025 7.10718e-07       18.92
    120.0618 9.00026e-07       67.00
    120.2210 1.24228e-06      -73.67
