           Mode#,   Frequency(Hz),              T1,              T2,              T3,              R1,              R2,              R3,
             185,          1176.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             186,          1183.7,             0.0,             0.0,             0.1,             0.0,             0.0,             0.0,
             187,          1189.1,             0.0,             0.0,             0.1,             0.1,             0.0,             0.0,
             188,          1194.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             189,          1200.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             190,          1202.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             191,          1202.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             192,          1203.2,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             193,          1208.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             194,          1213.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             195,          1220.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             196,          1225.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             197,          1230.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             198,          1236.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             199,          1240.7,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             200,          1249.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             201,          1255.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             202,          1263.1,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             203,          1267.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             204,          1268.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             205,          1272.4,             0.0,             0.0,             0.0,             0.0,             0.1,             0.0,
             206,          1275.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             207,          1279.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             208,          1281.2,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             209,          1286.2,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             210,          1288.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             211,          1296.9,             0.0,             0.0,             0.1,             0.1,             0.0,             0.0,
             212,          1307.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             213,          1312.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             214,          1316.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             215,          1322.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             216,          1324.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             217,          1325.2,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             218,          1332.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             219,          1334.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             220,          1338.1,             0.0,             0.0,             0.0,             0.1,             0.0,             0.0,
             221,          1345.7,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             222,          1345.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             223,          1356.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             224,          1359.0,             0.0,             0.0,             0.0,             0.1,             0.0,             0.0,
             225,          1362.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             226,          1372.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             227,          1378.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             228,          1386.2,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             229,          1396.2,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             230,          1400.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             231,          1402.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             232,          1410.1,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             233,          1413.2,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             234,          1419.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             235,          1427.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             236,          1431.6,             0.1,             0.0,             0.0,             0.0,             0.0,             0.0,
             237,          1433.2,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             238,          1433.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             239,          1434.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             240,          1439.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             241,          1439.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             242,          1441.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             243,          1442.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             244,          1443.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             245,          1446.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             246,          1447.7,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             247,          1454.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             248,          1456.1,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             249,          1457.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             250,          1460.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             251,          1461.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             252,          1468.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             253,          1471.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             254,          1474.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             255,          1481.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             256,          1486.1,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             257,          1486.7,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             258,          1492.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             259,          1495.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             260,          1498.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             261,          1501.1,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             262,          1503.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             263,          1511.7,             0.0,             0.0,             0.0,             0.1,             0.0,             0.0,
             264,          1518.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             265,          1528.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             266,          1531.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             267,          1532.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             268,          1538.8,             0.0,             0.0,             0.1,             0.1,             0.0,             0.0,
             269,          1542.1,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             270,          1544.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             271,          1548.7,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             272,          1549.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             273,          1553.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             274,          1559.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             275,          1563.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             276,          1567.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             277,          1571.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             278,          1574.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             279,          1583.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             280,          1585.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             281,          1592.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             282,          1598.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             283,          1599.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             284,          1604.7,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             285,          1613.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             286,          1615.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
